Modelo,Categoría,Proveedor,Tipo,Local/Cloud,Tamaño/Contexto,Hardware Mínimo,API/Costo,Uso Recomendado
Llama 3.1 (8B),Texto/Generalista,Meta,LLM,Local/Cloud,8B / 128K Tokens,8GB RAM / 6 GB VRAM,Open-Weights / Gratis Local,"Tareas locales rápidas, ideal para correr en laptops de estudiantes para laboratorios"
GPT-4o,Texto/Generalista,OpenAI,LLM,Cloud,No público / 128k Tokens,Ninguno (Servidor),API (%5 / 1M Tokens entrada),Sistemas en producción que requieran altísima precisión en lenguaje natural
Gemma 2 (9B),Texto/Generalista,Google,LLM,Local,9B Parámetros / 8k Tokens,8GB RAM / 8GB VRAM,Open-Weights / Gratis Local,"Tareas generales ligeras, funciona muy bien integrado con el ecosistema google"
"DeepSeek R1 ",Razonamiento,DeepSeek,LLM,Local/Cloud,671B (37B activos) / 128k Tokens,+32GB RAM (Versiones destiladas: 8GB),Open / API ($0.14 / 1M Tokens),Resolución de problemas matemáticos y arquitectura de software compleja
o1-preview,Razonamiento,OpenAI,LLM,Cloud,No público / 128k Tokens,Ninguno (Servidor),API (%15 / 1M Tokens entrada),Razonamiento algorítmico profundo: cuando la precisión es más importante que la velocidad
Qwen2.5-Coder (7B),Desarrollo (Código),Alibaba,Coding,Local/Cloud,7B Parámetros / 32k Tokens,8GB RAM / 6GB VRAM,Open-Weights / Gratis Local,Ideal para laboratorio: Vibe Coding local fluido sin depender de internet
Claude 3.5 Sonnet,Desarrollo (Código),Anthropic,LLM / Coding,Cloud,No público / 200k Tokens,Ninguno (Servidor),API ($3 / 1M Tokens entrada,El estándar actual de la industria para desarrollo web complejo y refactorización masiva
StarCoder2 (15B),Desarrollo (Código),BigCode,Coding,Local,15B Parámetros / 16k Tokens,16GB RAM / 12GB VRAM,Open-Weights / Gratis Local,"Entrenado específicamente en GitHub, excelente para integrarse en IDE (LM STUDIO)"
LLaVA 1.5,Visión/Multimodalidad,LLaVA OSS,VLM,Cloud,7B Parámetros / 4k Tokens,8GB RAM / 6GB VRAM,Open-Weights / Gratis Local,Extraer textos de imágenes o explicar diagramas básicos de forma privada
Gemini 1.5 Pro,Visión/Multimodalidad,Google,Multimodal,Cloud,No público / 2 Millones Tokens,Ninguno (Servidor),API ($1.25 / 1M Tokens),"Analizar videos completos, PDFs de documentación largos o mockups de software complejo"
"Whisper v3 ",Voz (SST),OpenAI,SST,Local/Cloud,1.5B Parámetros,8GB RAM / 4GB VRAM,Open / API ($0.006 / minuto),Transcribir reuniones con el cliente a texto de forma altamente precisa de forma local
ElevenLabs,Voz (SST),ElevenLabs,TTS,Cloud,No público,Ninguno (Servidor),API (Suscripción por caracteres),Generar voces hiperrealistas para aplicaciones accesibles o videojuegos comerciales
nomic-embed-text,Embeddings,Nomic,Embeddings,Local,137M Parámetros / 8k Tokens,4GB RAM / 2GB VRAM,Open-Weights / Gratis Local,Crear motores de búsqueda interna semántica (RAG) en los documentos locales de la empresa
text-embedding-3,Embeddings,OpenAI,Embeddings,Cloud,3072 Dimensiones / 8k Tokens,Ninguno (Servidor),API ($0.13 / 1M Tokens),Búsqueda semántica a nivel corporativo en bases de datos vectoriales gigantes
Llama 3.1 (405B),Texto/Generalista,Meta,LLM,Local/Cloud,405B Parámetros /128k Tokens,+800GB VRAM (Múltiples GPUs A100/H100),Open-Weights / API de terceros,Entrenar modelos más pequeños o despliegues corporativos masivos privados
Grok-2 (o Grok-3),Texto/Generalista,xAI,LLM Multimodal,Cloud,No público,Ninguno (Servidor),API de pago (Suscripción Premium X),Análisis de tendencias e información en tiempo real extraída de la red social X
DeepSeek-V3 (Version Full),Razonamiento,DeepSeek,LLM (MoE - Mixture of Experts),Cloud,671B Parámetros totales / 128k Token,Ninguno (Servidor),API ($0.14 / 1M Tokens),Resolución de matemáticas avanzadas y arquitectura de sistemas complejos
Claude 3.5 Opus,Desarrollo (Código),Anthropic,LLM / Coding,Cloud,No público / 200k Tokens,Ninguno (Servidor),API ($15 / 1M Tokens,Refactorización de bases de código enteras de nivel corporativo o bancario
"Gemini 1.5 Ultra ",Visión/Multimodalidad,Google,Multimoda Universal,Cloud,No público / 200M Tokens,Ninguno (Servidor),API Premium,Procesar decenas de horas de video o bases de datos masivas en un solo prompt
Project Astra (Gemini Live),Visión/Multimodalidad,"Google ",Multimodal en Tiempo Real,Cloud,No público / Procesamiento Continuo,Ninguno (Servidor),"API Premium ",Interacción fluida procesando videos y audio simultáneamente desde un dispositivo móvil sin latencia
